PRODUCTIONLINE,,TIME,,SKU,,ASSET,,ERROR_CODE,,FAULTS,,YIELD,,LOCATION1,,LOCATION2
,,,,,,,,,,,,,,,,
a001,,2019-10-01T14:21:39,,100013,,0xa00030,,1,,FALSE,,8,,New York City,,NY
,,,,,,,,,,,,,,,,
*** RECORD HEADER INVALID ***,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
a001,,2019-10-01T14:16:54,,100091,,0xa00009,,0,,FALSE,,3,,New York City,,NY
,,,,,,,,,,,,,,,,
a001,,2019-10-01T10:59:23,,100072,,0xa00001,,1,,FALSE,,4,,Chicago,,IL
,,,,,,,,,,,,,,,,
a001,,2019-10-01T08:23:22,,100028,,0xa00024,,1,,FALSE,,5,,Baltimore,,MD
,,,,,,,,,,,,,,,,
a001,,2019-10-01T23:02:47,,100006,,0xa00016,,1,,FALSE,,3,,Baltimore,,MD
,,,,,,,,,,,,,,,,
a001,,2019-10-01T13:28:57,,100045,,0xa00010,,1,,FALSE,,6,,Chicago,,IL
,,,,,,,,,,,,,,,,
a001,,2019-10-01T19:39:02,,100100,,0xa00005,,1,,FALSE,,1,,Baltimore,,MD
,,,,,,,,,,,,,,,,
a001,,2019-10-01T20:20:22,,100034,,0xa00027,,1,,TRUE,,2,,New York City,,NY
,,,,,,,,,,,,,,,,
a001,,2019-10-01T02:05:56,,100007,,0xa00012,,1,,FALSE,,6,,Chicago,,IL
a001,,2019-10-01T00:06:48,,100019,,0xa00005,,0,,FALSE,,9,,Baltimore,,MD
a001,,2019-10-01T19:35:12,,100005,,0xa00017,,1,,FALSE,,9,,Baltimore,,MD
a001,,2019-10-01T22:03:04,,100017,,0xa00008,,1,,FALSE,,7,,Baltimore,,MD
a001,,2019-10-01T03:23:42,,100039,,0xa00013,,1,,FALSE,,4,,Baltimore,,MD
a001,,2019-10-01T23:55:55,,100049,,0xa00031,,1,,FALSE,,9,,New York City,,NY
a001,,2019-10-01T05:17:27,,100037,,0xa00018,,1,,FALSE,,3,,Chicago,,IL
a001,,2019-10-01T10:16:29,,100090,,0xa00002,,1,,FALSE,,6,,Baltimore,,MD
a001,,2019-10-01T09:39:08,,100004,,0xa00030,,1,,FALSE,,8,,New York City,,NY
a001,,2019-10-01T01:44:33,,100039,,0xa00008,,1,,FALSE,,3,,New York City,,NY
a001,,2019-10-01T07:20:11,,100051,,0xa00039,,1,,FALSE,,2,,New York City,,NY
a001,,2019-10-01T07:06:29,,100018,,0xa00021,,1,,FALSE,,9,,New York City,,NY
a001,,2019-10-01T13:41:07,,100073,,0xa00028,,1,,FALSE,,2,,New York City,,NY
a001,,2019-10-01T01:24:40,,100020,,0xa00012,,1,,FALSE,,7,,Baltimore,,MD
a001,,2019-10-01T22:27:54,,100043,,0xa00011,,1,,FALSE,,5,,Baltimore,,MD
a001,,2019-10-01T09:29:51,,100016,,0xa00022,,1,,FALSE,,7,,New York City,,NY
a001,,2019-10-01T03:59:11,,100033,,0xa00004,,0,,FALSE,,8,,Baltimore,,MD
a001,,2019-10-01T16:43:03,,100032,,0xa00033,,1,,FALSE,,8,,Baltimore,,MD
a001,,2019-10-01T19:32:19,,100001,,0xa00002,,0,,FALSE,,5,,New York City,,NY
a001,,2019-10-01T10:56:45,,100069,,0xa00034,,1,,FALSE,,6,,Baltimore,,MD
a001,,2019-10-01T18:20:18,,100039,,0xa00025,,1,,FALSE,,2,,New York City,,NY
a001,,2019-10-01T06:34:25,,100072,,0xa00012,,1,,FALSE,,7,,Chicago,,IL
a001,,2019-10-01T01:25:41,,100100,,0xa00009,,1,,FALSE,,9,,Baltimore,,MD
a001,,2019-10-01T10:58:49,,100016,,0xa00033,,1,,FALSE,,3,,New York City,,NY
a001,,2019-10-01T07:32:35,,100036,,0xa00019,,1,,FALSE,,2,,New York City,,NY
a001,,2019-10-01T14:55:07,,100030,,0xa00010,,1,,FALSE,,1,,New York City,,NY
a001,,2019-10-01T13:13:40,,100041,,0xa00007,,1,,FALSE,,8,,New York City,,NY
a001,,2019-10-01T05:21:43,,100082,,0xa00002,,1,,FALSE,,5,,New York City,,NY
a001,,2019-10-01T12:02:55,,100090,,0xa00010,,1,,TRUE,,7,,Baltimore,,MD
a001,,2019-10-01T07:06:07,,100091,,0xa00030,,1,,FALSE,,5,,Baltimore,,MD
a001,,2019-10-01T10:42:04,,100030,,0xa00003,,1,,FALSE,,4,,Baltimore,,MD
a001,,2019-10-01T04:45:53,,100068,,0xa00007,,0,,FALSE,,3,,New York City,,NY
a001,,2019-10-01T19:19:51,,100032,,0xa00008,,1,,FALSE,,2,,Chicago,,IL
a001,,2019-10-01T20:50:20,,100051,,0xa00008,,1,,FALSE,,6,,Baltimore,,MD
a001,,2019-10-01T20:03:00,,100014,,0xa00038,,1,,FALSE,,3,,New York City,,NY
a001,,2019-10-01T19:19:00,,100030,,0xa00028,,1,,FALSE,,8,,Baltimore,,MD
a001,,2019-10-01T22:18:52,,100016,,0xa00030,,1,,FALSE,,9,,New York City,,NY
a001,,2019-10-01T21:39:38,,100001,,0xa00029,,0,,FALSE,,3,,Chicago,,IL
a001,,2019-10-01T20:26:28,,100040,,0xa00003,,0,,FALSE,,4,,Baltimore,,MD
a001,,2019-10-01T03:41:41,,100068,,0xa00023,,1,,FALSE,,4,,Chicago,,IL
a001,,2019-10-01T14:35:48,,100053,,0xa00016,,1,,TRUE,,7,,New York City,,NY
a001,,2019-10-01T21:51:14,,100025,,0xa00004,,1,,TRUE,,8,,Baltimore,,MD
a001,,2019-10-01T11:10:29,,100097,,0xa00025,,1,,FALSE,,9,,Chicago,,IL
a001,,2019-10-01T10:25:28,,100017,,0xa00024,,1,,FALSE,,4,,Baltimore,,MD
a001,,2019-10-01T05:09:09,,100092,,0xa00031,,0,,FALSE,,5,,New York City,,NY
a001,,2019-10-01T06:31:03,,100083,,0xa00015,,1,,FALSE,,5,,Chicago,,IL
a001,,2019-10-01T10:42:01,,100044,,0xa00036,,1,,FALSE,,1,,Chicago,,IL
a001,,2019-10-01T23:14:24,,100027,,0xa00028,,1,,FALSE,,6,,Baltimore,,MD
a001,,2019-10-01T07:37:26,,100088,,0xa00015,,1,,FALSE,,6,,Baltimore,,MD
a001,,2019-10-01T00:22:44,,100054,,0xa00007,,1,,FALSE,,5,,Chicago,,IL
a001,,2019-10-01T01:59:05,,100019,,0xa00012,,0,,FALSE,,8,,New York City,,NY
a001,,2019-10-01T20:19:43,,100061,,0xa00030,,1,,FALSE,,8,,New York City,,NY
a001,,2019-10-01T00:30:56,,100099,,0xa00034,,1,,FALSE,,9,,New York City,,NY
a001,,2019-10-01T07:14:22,,100096,,0xa00029,,1,,FALSE,,1,,New York City,,NY
a001,,2019-10-01T04:21:31,,100035,,0xa00010,,1,,FALSE,,8,,Chicago,,IL
a001,,2019-10-01T02:33:44,,100004,,0xa00025,,1,,FALSE,,4,,Baltimore,,MD
a001,,2019-10-01T08:29:14,,100021,,0xa00026,,1,,TRUE,,2,,Baltimore,,MD
a001,,2019-10-01T16:14:00,,100007,,0xa00005,,1,,FALSE,,3,,Baltimore,,MD
a001,,2019-10-01T18:43:00,,100064,,0xa00003,,1,,FALSE,,6,,New York City,,NY
a001,,2019-10-01T01:01:33,,100017,,0xa00018,,1,,FALSE,,2,,Baltimore,,MD
a001,,2019-10-01T21:59:46,,100055,,0xa00016,,1,,FALSE,,6,,Chicago,,IL
a001,,2019-10-01T16:57:48,,100021,,0xa00009,,1,,FALSE,,3,,Baltimore,,MD
a001,,2019-10-01T06:29:43,,100003,,0xa00023,,1,,FALSE,,3,,Chicago,,IL
a001,,2019-10-01T01:26:36,,100021,,0xa00005,,0,,FALSE,,6,,New York City,,NY
a001,,2019-10-01T02:22:16,,100099,,0xa00013,,1,,FALSE,,2,,Baltimore,,MD
a001,,2019-10-01T22:51:28,,100037,,0xa00020,,1,,FALSE,,5,,New York City,,NY
a001,,2019-10-01T22:39:57,,100089,,0xa00037,,1,,FALSE,,9,,Baltimore,,MD
a001,,2019-10-01T14:25:24,,100048,,0xa00019,,1,,FALSE,,2,,Baltimore,,MD
a001,,2019-10-01T00:06:34,,100079,,0xa00009,,1,,FALSE,,6,,New York City,,NY
a001,,2019-10-01T23:05:50,,100029,,0xa00028,,1,,FALSE,,2,,Chicago,,IL
a001,,2019-10-01T15:26:48,,100032,,0xa00030,,1,,FALSE,,1,,New York City,,NY
a001,,2019-10-01T06:33:08,,100039,,0xa00019,,0,,FALSE,,1,,Baltimore,,MD
a001,,2019-10-01T18:22:45,,100085,,0xa00009,,1,,FALSE,,8,,Baltimore,,MD
a001,,2019-10-01T08:29:59,,100016,,0xa00027,,1,,FALSE,,1,,Baltimore,,MD
a001,,2019-10-01T01:18:19,,100021,,0xa00006,,0,,FALSE,,8,,Baltimore,,MD
a001,,2019-10-01T18:49:38,,100055,,0xa00034,,1,,FALSE,,3,,New York City,,NY
a001,,2019-10-01T08:04:43,,100025,,0xa00021,,1,,FALSE,,5,,Baltimore,,MD
a001,,2019-10-01T07:24:55,,100078,,0xa00032,,1,,FALSE,,3,,New York City,,NY
a001,,2019-10-01T02:59:15,,100062,,0xa00037,,1,,FALSE,,1,,New York City,,NY
a001,,2019-10-01T15:29:00,,100046,,0xa00022,,1,,FALSE,,1,,New York City,,NY
a001,,2019-10-01T12:45:30,,100044,,0xa00028,,1,,FALSE,,5,,Chicago,,IL
a001,,2019-10-01T05:24:17,,100038,,0xa00038,,1,,FALSE,,6,,Baltimore,,MD
a001,,2019-10-01T15:35:31,,100011,,0xa00024,,1,,FALSE,,9,,New York City,,NY
a001,,2019-10-01T20:39:18,,100090,,0xa00022,,1,,FALSE,,5,,Baltimore,,MD
a001,,2019-10-01T17:18:26,,100032,,0xa00021,,1,,FALSE,,9,,Chicago,,IL
a001,,2019-10-01T07:19:10,,100096,,0xa00029,,1,,FALSE,,2,,Baltimore,,MD
a001,,2019-10-01T07:51:07,,100099,,0xa00030,,1,,FALSE,,6,,Baltimore,,MD
a001,,2019-10-01T10:15:20,,100016,,0xa00021,,1,,FALSE,,8,,New York City,,NY
a001,,2019-10-01T08:30:54,,100055,,0xa00018,,1,,FALSE,,9,,Baltimore,,MD
a001,,2019-10-01T14:22:44,,100014,,0xa00005,,1,,FALSE,,9,,New York City,,NY
a001,,2019-10-01T14:23:25,,100013,,0xa00009,,1,,FALSE,,1,,New York City,,NY
a001,,2019-10-01T17:46:52,,100037,,0xa00033,,1,,FALSE,,3,,Baltimore,,MD
a001,,2019-10-01T13:49:21,,100089,,0xa00027,,1,,FALSE,,4,,Baltimore,,MD
a001,,2019-10-01T02:46:56,,100073,,0xa00001,,1,,FALSE,,4,,New York City,,NY
a001,,2019-10-01T16:52:40,,100082,,0xa00018,,1,,FALSE,,2,,Baltimore,,MD
a001,,2019-10-01T12:15:38,,100067,,0xa00003,,1,,FALSE,,9,,New York City,,NY
a001,,2019-10-01T04:23:37,,100001,,0xa00034,,1,,FALSE,,2,,Baltimore,,MD
