SENSORUUID,PRODUCTION_NODE,PRODUCT,MEASURE
0xa00031tm_,0xa00031,2019-10-01T09:28:57,83.81919845
0xa00013tm_,0xa00013,2019-10-01T00:03:39,80.751498
0xa00009tm_,0xa00009,2019-10-01T19:14:22,81.4309054
0xa00004tm_,0xa00004,2019-10-01T20:27:52,78.62713514
0xa00026tm_,0xa00026,2019-10-01T12:17:39,82.55130423
0xa00030tm_,0xa00030,2019-10-01T00:19:09,82.69587014
0xa00018tm_,0xa00018,2019-10-01T23:02:26,81.23256117
0xa00031tm_,0xa00031,2019-10-01T10:40:28,82.92148557
0xa00030tm_,0xa00030,2019-10-01T14:21:39,83.4493846
0xa00031tm_,0xa00031,2019-10-01T16:28:34,83.77854456
0xa00016tm_,0xa00016,2019-10-01T15:28:23,81.68038953
0xa00012tm_,0xa00012,2019-10-01T12:16:49,81.11499962
0xa00009tm_,0xa00009,2019-10-01T14:16:54,81.18799996
0xa00020tm_,0xa00020,2019-10-01T01:35:43,82
0xa00001tm_,0xa00001,2019-10-01T10:59:23,78.99173988
0xa00009tm_,0xa00009,2019-10-01T08:07:09,81.01987302
0xa00024tm_,0xa00024,2019-10-01T08:23:22,82.30045079
0xa00030tm_,0xa00030,2019-10-01T18:54:59,83.75336031
0xa00019tm_,0xa00019,2019-10-01T18:52:24,81.08864331
0xa00016tm_,0xa00016,2019-10-01T23:02:47,81.99839328
0xa00010tm_,0xa00010,2019-10-01T13:28:57,80.78966375
0xa00028tm_,0xa00028,2019-10-01T04:38:13,82.95046159
0xa00010tm_,0xa00010,2019-10-01T02:22:41,79.3355524
0xa00016tm_,0xa00016,2019-10-01T07:42:11,81.42498909
0xa00005tm_,0xa00005,2019-10-01T19:39:02,79.01943469
0xa00027tm_,0xa00027,2019-10-01T20:20:22,82.98776064
0xa00005tm_,0xa00005,2019-10-01T06:26:18,81.64033232
0xa00024tm_,0xa00024,2019-10-01T15:31:05,82.89620662
0xa00034tm_,0xa00034,2019-10-01T01:18:00,83.74583001
0xa00017tm_,0xa00017,2019-10-01T13:42:07,81.21837673
0xa00012tm_,0xa00012,2019-10-01T02:05:56,80.81962859
0xa00005tm_,0xa00005,2019-10-01T00:06:48,80.13438112
0xa00017tm_,0xa00017,2019-10-01T09:06:15,81.54661462
0xa00017tm_,0xa00017,2019-10-01T19:35:12,81.02364052
0xa00008tm_,0xa00008,2019-10-01T22:03:04,79.11588809
0xa00013tm_,0xa00013,2019-10-01T03:23:42,80.87811922
0xa00028tm_,0xa00028,2019-10-01T11:05:16,83.50248906
0xa00004tm_,0xa00004,2019-10-01T05:51:33,79.59648228
0xa00020tm_,0xa00020,2019-10-01T13:36:43,82
0xa00031tm_,0xa00031,2019-10-01T23:55:55,82.3425683
0xa00033tm_,0xa00033,2019-10-01T23:16:09,82.74490212
0xa00013tm_,0xa00013,2019-10-01T12:52:18,80.14840112
0xa00013tm_,0xa00013,2019-10-01T15:43:15,80.87956872
0xa00037tm_,0xa00037,2019-10-01T16:19:15,84.58671958
0xa00012tm_,0xa00012,2019-10-01T00:33:15,81.87578826
0xa00009tm_,0xa00009,2019-10-01T16:07:14,80.63550128
0xa00018tm_,0xa00018,2019-10-01T08:22:08,81.75026868
0xa00009tm_,0xa00009,2019-10-01T03:16:25,81.81403978
0xa00002tm_,0xa00002,2019-10-01T17:44:23,77.75708203
0xa00018tm_,0xa00018,2019-10-01T15:31:27,81.51919022
0xa00004tm_,0xa00004,2019-10-01T16:27:31,80.73417231
0xa00009tm_,0xa00009,2019-10-01T13:41:54,80.1276247
0xa00035tm_,0xa00035,2019-10-01T18:24:58,83.2565582
0xa00018tm_,0xa00018,2019-10-01T03:29:49,81.59563594
0xa00027tm_,0xa00027,2019-10-01T08:07:14,82.4287737
0xa00039tm_,0xa00039,2019-10-01T14:11:51,85.84693363
0xa00010tm_,0xa00010,2019-10-01T05:58:25,79.78449538
0xa00036tm_,0xa00036,2019-10-01T17:45:44,85.37276094
0xa00028tm_,0xa00028,2019-10-01T15:33:32,83.09253239
0xa00024tm_,0xa00024,2019-10-01T21:56:43,82.80601099
0xa00018tm_,0xa00018,2019-10-01T05:17:27,81.17400109
0xa00012tm_,0xa00012,2019-10-01T21:04:53,80.74357454
0xa00027tm_,0xa00027,2019-10-01T00:54:10,82.01979617
0xa00003tm_,0xa00003,2019-10-01T17:03:52,78.21740385
0xa00024tm_,0xa00024,2019-10-01T03:31:34,82.11568601
0xa00003tm_,0xa00003,2019-10-01T04:57:59,78.71246633
0xa00036tm_,0xa00036,2019-10-01T15:26:39,85.6277857
0xa00006tm_,0xa00006,2019-10-01T11:28:19,81.73481363
0xa00001tm_,0xa00001,2019-10-01T01:11:45,78.66673121
0xa00002tm_,0xa00002,2019-10-01T10:16:29,81.97446545
0xa00030tm_,0xa00030,2019-10-01T09:39:08,82.87515141
0xa00007tm_,0xa00007,2019-10-01T17:45:24,80.76536687
0xa00029tm_,0xa00029,2019-10-01T10:09:50,82.60938385
0xa00006tm_,0xa00006,2019-10-01T14:16:12,79.8644607
0xa00032tm_,0xa00032,2019-10-01T14:59:48,84.94204713
0xa00033tm_,0xa00033,2019-10-01T13:31:59,84.39874861
0xa00019tm_,0xa00019,2019-10-01T08:57:13,81.16069943
0xa00029tm_,0xa00029,2019-10-01T15:14:51,82.2161255
0xa00035tm_,0xa00035,2019-10-01T06:59:34,84.50578976
0xa00018tm_,0xa00018,2019-10-01T18:13:29,81.33739162
0xa00008tm_,0xa00008,2019-10-01T01:44:33,80.94815468
0xa00039tm_,0xa00039,2019-10-01T07:20:11,82.74203143
0xa00025tm_,0xa00025,2019-10-01T04:18:58,82.10467386
0xa00028tm_,0xa00028,2019-10-01T13:49:07,83.01651983
0xa00003tm_,0xa00003,2019-10-01T09:23:05,81.97214464
0xa00003tm_,0xa00003,2019-10-01T20:13:27,78.8918249
0xa00030tm_,0xa00030,2019-10-01T02:50:27,82.0509438
0xa00025tm_,0xa00025,2019-10-01T12:46:49,82.84806386
0xa00021tm_,0xa00021,2019-10-01T07:06:29,82
0xa00003tm_,0xa00003,2019-10-01T06:12:07,78.43946408
0xa00028tm_,0xa00028,2019-10-01T13:41:07,83.2655546
0xa00034tm_,0xa00034,2019-10-01T21:42:14,83.96697322
0xa00015tm_,0xa00015,2019-10-01T11:41:21,81.25969133
0xa00012tm_,0xa00012,2019-10-01T01:24:40,80.11650969
0xa00014tm_,0xa00014,2019-10-01T03:20:12,80.14755938
0xa00011tm_,0xa00011,2019-10-01T22:27:54,79.6588232
0xa00024tm_,0xa00024,2019-10-01T17:05:57,82.44529848
0xa00012tm_,0xa00012,2019-10-01T14:05:31,80.05104426
0xa00028tm_,0xa00028,2019-10-01T19:50:01,83.24613856
0xa00031tm_,0xa00031,2019-10-01T04:49:18,82.83878164
0xa00011tm_,0xa00011,2019-10-01T11:14:19,79.14297927
0xa00002tm_,0xa00002,2019-10-01T22:42:53,79.22077423
0xa00009tm_,0xa00009,2019-10-01T09:48:20,79.37801253
0xa00022tm_,0xa00022,2019-10-01T09:29:51,82
0xa00037tm_,0xa00037,2019-10-01T10:44:35,82.17515533
0xa00004tm_,0xa00004,2019-10-01T19:04:33,81.6710578
0xa00004tm_,0xa00004,2019-10-01T03:59:11,78.02401177
0xa00024tm_,0xa00024,2019-10-01T14:17:43,82.4999847
0xa00004tm_,0xa00004,2019-10-01T03:15:01,79.31236556
0xa00020tm_,0xa00020,2019-10-01T04:11:45,82
0xa00033tm_,0xa00033,2019-10-01T16:43:03,82.13819194
0xa00024tm_,0xa00024,2019-10-01T09:39:14,82.23985429
0xa00015tm_,0xa00015,2019-10-01T22:49:28,80.4368749
0xa00036tm_,0xa00036,2019-10-01T14:00:04,84.17600314
0xa00002tm_,0xa00002,2019-10-01T19:32:19,78.29105329
0xa00029tm_,0xa00029,2019-10-01T11:19:01,82.32034245
0xa00034tm_,0xa00034,2019-10-01T10:56:45,84.23393964
0xa00008tm_,0xa00008,2019-10-01T16:00:40,79.15027715
0xa00025tm_,0xa00025,2019-10-01T18:20:18,82.94671337
0xa00028tm_,0xa00028,2019-10-01T08:15:55,82.18071281
0xa00017tm_,0xa00017,2019-10-01T04:02:14,81.16159739
0xa00012tm_,0xa00012,2019-10-01T06:34:25,81.29343549
0xa00009tm_,0xa00009,2019-10-01T04:48:27,79.402774
0xa00005tm_,0xa00005,2019-10-01T20:23:30,79.13412185
0xa00014tm_,0xa00014,2019-10-01T03:31:02,80.26680762
0xa00011tm_,0xa00011,2019-10-01T00:17:07,79.9730077
0xa00033tm_,0xa00033,2019-10-01T19:34:30,84.50987316
0xa00009tm_,0xa00009,2019-10-01T01:25:41,81.43057747
0xa00011tm_,0xa00011,2019-10-01T03:04:35,79.08502125
0xa00026tm_,0xa00026,2019-10-01T19:23:25,82.55225279
0xa00013tm_,0xa00013,2019-10-01T22:08:03,81.85309624
0xa00038tm_,0xa00038,2019-10-01T05:13:33,83.04985685
0xa00005tm_,0xa00005,2019-10-01T08:09:16,79.01512875
0xa00032tm_,0xa00032,2019-10-01T19:54:13,82.95150586
0xa00029tm_,0xa00029,2019-10-01T01:26:32,82.99004156
0xa00008tm_,0xa00008,2019-10-01T23:23:35,80.19908319
0xa00020tm_,0xa00020,2019-10-01T16:21:10,82
0xa00017tm_,0xa00017,2019-10-01T03:52:42,81.75937039
0xa00007tm_,0xa00007,2019-10-01T07:18:09,81.93513868
0xa00033tm_,0xa00033,2019-10-01T10:58:49,84.05362219
0xa00019tm_,0xa00019,2019-10-01T07:32:35,81.00969472
0xa00030tm_,0xa00030,2019-10-01T14:20:57,82.21949286
0xa00010tm_,0xa00010,2019-10-01T14:55:07,79.84559635
0xa00015tm_,0xa00015,2019-10-01T22:44:17,80.17195992
0xa00007tm_,0xa00007,2019-10-01T13:13:40,79.60907865
0xa00008tm_,0xa00008,2019-10-01T01:48:06,81.54308844
0xa00012tm_,0xa00012,2019-10-01T03:47:28,81.16859266
0xa00002tm_,0xa00002,2019-10-01T05:21:43,77.24700332
0xa00010tm_,0xa00010,2019-10-01T12:02:55,80.61595202
0xa00030tm_,0xa00030,2019-10-01T07:06:07,82.48488085
0xa00012tm_,0xa00012,2019-10-01T09:24:56,80.42943847
0xa00008tm_,0xa00008,2019-10-01T21:37:18,81.87552102
0xa00031tm_,0xa00031,2019-10-01T17:40:37,82.5898781
0xa00039tm_,0xa00039,2019-10-01T04:41:02,84.93483241
0xa00023tm_,0xa00023,2019-10-01T16:00:01,82
0xa00009tm_,0xa00009,2019-10-01T18:14:18,80.30660751
